pmid,year
13130032,2003
15172697,2004
15460326,2004
15460542,2004
15519047,2004
15721338,2005
15805727,2005
16094559,2005
16199780,2005
16343464,2006
16376031,2006
16443273,2006
16548330,2006
16548331,2006
16566254,2006
16631219,2006
17084565,2007
17118985,2007
17172329,2007
17300467,2007
17572123,2008
17616056,2007
17644581,2007
18042158,2007
18218158,2007
18386389,2008
18445535,2009
18502523,2008
18512458,2008
18590787,2008
18774660,2009
19095078,2009
19186010,2009
19269314,2009
19362538,2009
19429974,2009
19436586,2009
19524660,2009
19564494,2009
19635707,2009
19682567,2009
20003650,2009
20003651,2009
20036125,2010
20117542,2010
20176790,2010
20622875,2010
20713325,2010
21112704,2011
21262608,2010
21327861,2011
21482041,2011
21482045,2011
21557979,2011
21795713,2011
21854629,2011
21921060,2011
22001176,2012
22111657,2011
22121154,2012
22276113,2012
22362524,2012
22374120,2012
22554920,2012
22676226,2012
22738054,2012
22844717,2012
22868182,2012
22898534,2013
22914822,2012
22971783,2012
23004228,2012
23022668,2013
23328945,2013
23333196,2013
23477739,2013
23514236,2013
23526124,2013
23572456,2013
23585284,2013
23649093,2013
23785362,2013
23832703,2014
24009269,2014
24478472,2014
24518275,2014
24592151,2014
24603464,2014
24919149,2014
25012080,2014
25013084,2014
25073739,2014
25143338,2014
25173953,2014
25218867,2014
25307949,2014
25480485,2015
25525134,2015
25592262,2015
25619524,2015
25929158,2016
26130851,2015
26373635,2015
26424916,2015
26460173,2015
26571015,2015
26690881,2016
26728061,2016
26728062,2016
26728064,2016
26728065,2016
26814887,2016
26847356,2016
26847357,2016
26853691,2016
26859677,2016
26868239,2016
27027834,2016
27102206,2016
27389524,2016
27501390,2016
27527782,2016
28070089,2017
28074713,2017
28178428,2017
28240958,2017
28274639,2017
28282443,2017
28330466,2017
28405704,2017
28425146,2017
28542866,2018
28705198,2017
28739600,2017
28827826,2017
28888626,2017
28915339,2017
28983006,2017
29034785,2018
29105570,2018
29246635,2018
29255716,2017
29481657,2018
29507894,2019
29551641,2018
29665869,2018
29981695,2018
29997583,2018
30042951,2018
30102924,2018
30201700,2018
30239324,2018
30264658,2018
30283793,2018
30510316,2018
30615999,2019
30817050,2019
30918994,2019
30955824,2019
30997780,2019
31084894,2019
31118011,2019
31216348,2019
31296715,2019
31316038,2019
31420565,2019
31551953,2019
31635391,2019
31646958,2019
31650465,2020
31680940,2019
31715071,2020
31727699,2019
31792233,2019
31817737,2019
31835273,2019
31902491,2020
31926143,2020
31954585,2020
32093326,2020
32113583,2020
32123090,2020
32327251,2020
32366593,2020
32426381,2020
32434101,2020
32587908,2020
32640606,2020
32655163,2020
32747101,2020
32754136,2020
33139386,2021
33203584,2021
33645738,2021
33764631,2022
33817398,2021
34000807,2021
34078202,2021
34090248,2021
34113678,2021
34148730,2022
34262960,2021
34277758,2021
34348051,2022
34500221,2021
34568480,2021
34600578,2021
34670186,2022
34739965,2021
34740025,2021
34805342,2021
34808430,2022
34818352,2021
34851158,2021
34938371,2021
34975167,2022
35101666,2022
35139720,2022
35143504,2022
35193707,2022
35241167,2022
35453238,2022
35582493,2022
35640408,2022
35675980,2022
35688413,2022
35692294,2022
35893545,2022
35926833,2022
35979489,2022
36115247,2022
36328540,2022
36333140,2023
36342628,2023
36387383,2022
36401280,2022
36495587,2023
36560721,2022
36658613,2023
36759491,2023
36761402,2022
36830126,2023
36848816,2023
36999220,2023
37042002,2023
37220152,2023
37257116,2023
37391360,2023
37397640,2023
37441557,2023
37491320,2023
37571989,2023
37786851,2023
37917227,2023
37999912,2024
38033643,2023
38135039,2024
38247609,2024
38291289,2024
38323752,2024
38335832,2024
38341558,2024
38391206,2024
38392852,2024
38422620,2024
38668255,2024
38705209,2024
38738930,2024
38779502,2024
38885549,2024
38921777,2024
38933702,2024
39103126,2024
39109351,2024
39143403,2024
39203450,2024
39240084,2024
39287894,2024
39453085,2024
39492819,2024
39528575,2024
39591167,2024
13130032,2003
15172697,2004
15460326,2004
15460542,2004
15519047,2004
15721338,2005
15805727,2005
16094559,2005
16199780,2005
16343464,2006
16376031,2006
16443273,2006
16548330,2006
16548331,2006
16566254,2006
16631219,2006
17084565,2007
17118985,2007
17172329,2007
17300467,2007
17572123,2008
17616056,2007
17644581,2007
18042158,2007
18218158,2007
18386389,2008
18445535,2009
18502523,2008
18512458,2008
18590787,2008
18774660,2009
19095078,2009
19186010,2009
19269314,2009
19362538,2009
19429974,2009
19436586,2009
19524660,2009
19564494,2009
19635707,2009
19682567,2009
20003650,2009
20003651,2009
20036125,2010
20117542,2010
20176790,2010
20622875,2010
20713325,2010
21112704,2011
21262608,2010
21327861,2011
21482041,2011
21482045,2011
21557979,2011
21795713,2011
21854629,2011
21921060,2011
22001176,2012
22111657,2011
22121154,2012
22276113,2012
22362524,2012
22374120,2012
22500881,2013
22554920,2012
22676226,2012
22738054,2012
22844717,2012
22868182,2012
22898534,2013
22914822,2012
22971783,2012
23004228,2012
23022668,2013
23328945,2013
23333196,2013
23477739,2013
23514236,2013
23526124,2013
23572456,2013
23585284,2013
23649093,2013
23785362,2013
23832703,2014
24009269,2014
24478472,2014
24518275,2014
24592151,2014
24603464,2014
24919149,2014
25012080,2014
25013084,2014
25073739,2014
25143338,2014
25173953,2014
25218867,2014
25307949,2014
25480485,2015
25525134,2015
25592262,2015
25619524,2015
25929158,2016
26130851,2015
26373635,2015
26424916,2015
26460173,2015
26571015,2015
26690881,2016
26728061,2016
26728062,2016
26728064,2016
26728065,2016
26814887,2016
26847356,2016
26847357,2016
26853691,2016
26859677,2016
26868239,2016
27027834,2016
27102206,2016
27389524,2016
27501390,2016
27527782,2016
28070089,2017
28074713,2017
28178428,2017
28240958,2017
28274639,2017
28282443,2017
28330466,2017
28405704,2017
28425146,2017
28542866,2018
28705198,2017
28739600,2017
28827826,2017
28888626,2017
28915339,2017
28983006,2017
29034785,2018
29105570,2018
29246635,2018
29255716,2017
29481657,2018
29507894,2019
29551641,2018
29665869,2018
29981695,2018
29997583,2018
30042951,2018
30102924,2018
30201700,2018
30239324,2018
30264658,2018
30283793,2018
30510316,2018
30615999,2019
30817050,2019
30918994,2019
30955824,2019
30997780,2019
31084894,2019
31118011,2019
31216348,2019
31296715,2019
31316038,2019
31420565,2019
31551953,2019
31635391,2019
31646958,2019
31650465,2020
31680940,2019
31715071,2020
31727699,2019
31792233,2019
31817737,2019
31835273,2019
31902491,2020
31926143,2020
31954585,2020
32093326,2020
32113583,2020
32123090,2020
32327251,2020
32366593,2020
32426381,2020
32434101,2020
32587908,2020
32640606,2020
32655163,2020
32747101,2020
32754136,2020
33139386,2021
33152661,2020
33203584,2021
33645738,2021
33764631,2022
33817398,2021
34000807,2021
34078202,2021
34090248,2021
34113678,2021
34148730,2022
34262960,2021
34277758,2021
34348051,2022
34500221,2021
34568480,2021
34600578,2021
34670186,2022
34739965,2021
34740025,2021
34805342,2021
34808430,2022
34818352,2021
34851158,2021
34938371,2021
34975167,2022
35101666,2022
35139720,2022
35143504,2022
35193707,2022
35241167,2022
35453238,2022
35582493,2022
35640408,2022
35675980,2022
35688413,2022
35692294,2022
35893545,2022
35926833,2022
35979489,2022
36115247,2022
36328540,2022
36333140,2023
36342628,2023
36387383,2022
36401280,2022
36495587,2023
36560721,2022
36658613,2023
36759491,2023
36761402,2022
36830126,2023
36848816,2023
36999220,2023
37042002,2023
37220152,2023
37257116,2023
37391360,2023
37397640,2023
37441557,2023
37491320,2023
37571989,2023
37786851,2023
37917227,2023
37999912,2024
38033643,2023
38135039,2024
38247609,2024
38291289,2024
38323752,2024
38335832,2024
38341558,2024
38391206,2024
38392852,2024
38422620,2024
38668255,2024
38705209,2024
38738930,2024
38779502,2024
38885549,2024
38921777,2024
38933702,2024
39103126,2024
39109351,2024
39143403,2024
39203450,2024
39240084,2024
39287894,2024
39453085,2024
39492819,2024
39528575,2024
39591167,2024
