pmid,year
1563798,1992
1930556,1991
2768470,1989
3139706,1988
8486241,1993
9542946,1998
10765032,2000
11348001,2001
11759753,2001
15023964,2004
15341329,2004
16715811,2006
17012583,2006
18545840,2008
19197977,2009
21247722,2012
22417292,2012
22524539,2012
22970112,2012
24099937,2013
24682877,2014
24854211,2014
25252051,2014
25583334,2015
26798095,2016
26825089,2016
26893413,2016
30039866,2018
30474192,2019
31084036,1993
31654082,2019
32173451,2020
32585357,2020
32950638,2020
34186154,2021
34280771,2021
34307285,2021
34451461,2021
34989613,2022
35278639,2022
35369605,2022
35598068,2022
35810964,2022
36591266,2022
38204197,2024
38540055,2024
1563798,1992
1930556,1991
2768470,1989
3139706,1988
8214815,1993
8486241,1993
9542946,1998
10765032,2000
11348001,2001
11759753,2001
15023964,2004
15341329,2004
16715811,2006
17012583,2006
18545840,2008
19197977,2009
21247722,2012
22417292,2012
22524539,2012
22970112,2012
24099937,2013
24682877,2014
24854211,2014
25252051,2014
25583334,2015
26798095,2016
26825089,2016
26893413,2016
30039866,2018
30474192,2019
31084036,1993
31654082,2019
32173451,2020
32585357,2020
32950638,2020
34186154,2021
34280771,2021
34307285,2021
34451461,2021
34989613,2022
35278639,2022
35369605,2022
35598068,2022
35810964,2022
36591266,2022
38204197,2024
38540055,2024
