pmid,year
15879269,2005
18842380,2008
21169462,2011
25858248,2015
26205869,2015
26488626,2015
26607230,2016
26966213,2016
27033632,2016
27847376,2017
27913093,2017
28098550,2017
28856455,2018
29148374,2017
29233117,2017
29301886,2018
30079241,2018
30554477,2019
30561316,2019
31466280,2019
31840164,2020
32046885,2020
32289377,2020
32580952,2020
32745334,2021
33258923,2021
33835912,2021
33858129,2021
34896547,2022
35510517,2022
35972564,2022
36087820,2022
36161308,2023
36419595,2022
36803058,2023
36998635,2023
37196678,2023
37334434,2023
37629190,2023
37833994,2023
38081734,2023
38356016,2024
38526191,2024
39491192,2023
39529195,2024
15879269,2005
18842380,2008
21169462,2011
25858248,2015
26205869,2015
26488626,2015
26607230,2016
26966213,2016
27033632,2016
27847376,2017
27913093,2017
28098550,2017
28856455,2018
29148374,2017
29233117,2017
29301886,2018
30079241,2018
30554477,2019
30561316,2019
31466280,2019
31840164,2020
32046885,2020
32289377,2020
32580952,2020
32745334,2021
33258923,2021
33835912,2021
33858129,2021
34896547,2022
35510517,2022
35972564,2022
36087820,2022
36161308,2023
36419595,2022
36803058,2023
36998635,2023
37196678,2023
37334434,2023
37629190,2023
37833994,2023
38081734,2023
38356016,2024
38526191,2024
39491192,2023
39529195,2024
