pmid,year
8782684,1996
9574713,1998
9734025,1998
9922270,1999
9986879,1999
10028246,1999
10555310,1999
10708388,2000
10946299,2000
11004406,2000
11134043,2001
11154403,2000
11285258,2001
11313133,2001
11552154,2001
11958938,2002
12798152,2003
15327648,2004
15491467,2004
15618163,2005
15829891,2005
17229060,2007
24815960,2014
25781328,2015
30092089,2018
30937543,2019
37527556,2024
37572051,2023
39263909,2024
8782684,1996
9574713,1998
9734025,1998
9922270,1999
9986879,1999
10028246,1999
10555310,1999
10708388,2000
10946299,2000
11004406,2000
11134043,2001
11154403,2000
11285258,2001
11313133,2001
11552154,2001
11958938,2002
12798152,2003
15327648,2004
15491467,2004
15618163,2005
15829891,2005
17229060,2007
24815960,2014
25781328,2015
30092089,2018
30937543,2019
37527556,2024
37572051,2023
39263909,2024
